Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths,daily cases,daily deaths,posratio
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-02,956.0,2620.0,143.0,8.0,3.0,0.008368200836820083
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-03,1125.0,2626.0,144.0,6.0,1.0,0.005333333333333333
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-04,1619.0,2632.0,146.0,6.0,2.0,0.0037059913526868438
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-05,2799.0,2642.0,146.0,10.0,0.0,0.0035727045373347625
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-06,3302.0,2663.0,147.0,21.0,1.0,0.006359781950333132
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-07,2991.0,2678.0,148.0,15.0,1.0,0.0050150451354062184
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-08,4248.0,2691.0,150.0,13.0,2.0,0.0030602636534839923
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-09,3093.0,2710.0,151.0,19.0,1.0,0.006142903330100227
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-10,1493.0,2716.0,151.0,6.0,0.0,0.004018754186202277
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-11,486.0,2726.0,151.0,10.0,0.0,0.0205761316872428
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-12,6691.0,2744.0,152.0,18.0,1.0,0.00269018083993424
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-13,5988.0,2760.0,155.0,16.0,3.0,0.0026720106880427524
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-14,4191.0,2770.0,156.0,10.0,1.0,0.0023860653781913625
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-15,3782.0,2810.0,160.0,40.0,4.0,0.010576414595452142
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-16,6268.0,2819.0,162.0,9.0,2.0,0.0014358647096362476
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-17,2242.0,2834.0,163.0,15.0,1.0,0.006690454950936664
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-18,3159.0,2836.0,165.0,2.0,2.0,0.0006331117442228553
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-19,4317.0,2840.0,165.0,4.0,0.0,0.000926569376882094
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-20,3444.0,2850.0,166.0,10.0,1.0,0.0029036004645760743
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-21,4633.0,2853.0,168.0,3.0,2.0,0.0006475285991797971
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-22,3880.0,2874.0,169.0,21.0,1.0,0.005412371134020618
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-23,5040.0,2876.0,171.0,2.0,2.0,0.0003968253968253968
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-24,965.0,2878.0,171.0,2.0,0.0,0.002072538860103627
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-25,1074.0,2882.0,172.0,4.0,1.0,0.0037243947858473
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-26,5954.0,2892.0,173.0,10.0,1.0,0.0016795431642593216
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-27,5254.0,2903.0,173.0,11.0,0.0,0.002093642938713361
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-28,4222.0,2906.0,175.0,3.0,2.0,0.0007105637138796779
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-29,4377.0,2909.0,175.0,3.0,0.0,0.0006854009595613434
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-30,3472.0,2915.0,175.0,6.0,0.0,0.0017281105990783411
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-31,2202.0,2917.0,175.0,2.0,0.0,0.0009082652134423251
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-06-01,1905.0,2918.0,179.0,1.0,4.0,0.0005249343832020997
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-06-02,3167.0,2937.0,179.0,19.0,0.0,0.005999368487527629
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-06-09,2240.0,3058.0,183.0,9.0,1.0,0.0040178571428571425
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-06-12,6591.0,3108.0,183.0,20.0,0.0,0.0030344409042633897
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-06-13,3585.0,3112.0,183.0,4.0,0.0,0.0011157601115760112
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-06-14,3471.0,3121.0,183.0,9.0,0.0,0.0025929127052722557
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-06-15,3931.0,3134.0,184.0,13.0,1.0,0.003307046553039939
