Entity,Positivity Rate,Death Rate,Cases per Population,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%)
Malaysia,0.009766,0.001792,4e-06,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7
Malta,0.01868,0.0,3.7e-05,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20
Mauritania,0.079038,0.0,3.6e-05,Africa,21.01,-10.94,29,0.4,0.07,1679.4,4420184,20,3
Mexico,0.353865,0.085091,0.00053,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7
Mongolia,7.2e-05,0.0,1e-06,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4
Morocco,0.068814,0.017003,3.6e-05,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7
Mozambique,0.059682,0.004535,2e-06,Africa,-18.67,35.53,23,0.7,0.06,503.6,29668834,17,3
Myanmar,0.021133,0.016619,1e-06,Asia,21.91,95.96,25,0.9,0.57,1407.8,53370609,29,6
Namibia,0.069119,0.004348,5.2e-05,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4
Nepal,0.058293,0.00641,2e-05,Asia,28.39,84.12,15,0.3,0.6,1071.1,29304998,25,6
New Zealand,0.000441,0.0,5e-06,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16
Nigeria,0.097579,0.010751,6e-06,Africa,9.08,8.68,28,0.5,0.4,2229.9,190886311,18,3
Norway,0.014925,0.0,5e-05,Europe,60.47,8.47,1,3.6,4.38,75419.6,5282223,39,17
Oman,0.054777,0.007199,0.00017,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2
Pakistan,0.053536,0.019707,3.2e-05,Asia,30.38,69.35,22,0.6,0.98,1284.7,197015955,23,4
Panama,0.168797,0.017964,0.000503,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8
Paraguay,0.181508,0.016129,7e-05,South America,-23.44,-58.44,22,1.3,1.29,5414.8,6811297,26,6
Peru,0.597645,0.027765,0.000934,South America,-9.19,-75.02,19,1.6,1.12,6977.7,32165485,29,8
Philippines,0.053861,0.020887,2.5e-05,Asia,12.88,121.77,27,1.0,1.11,3485.1,104918090,25,5
Poland,0.03412,0.023553,5.5e-05,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18
Portugal,0.048244,0.017871,0.000179,Europe,39.4,-8.22,15,3.39,4.43,23252.1,10293718,46,22
Qatar,0.056349,0.0,7.8e-05,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1
Romania,0.09241,0.030612,0.000206,Europe,45.94,24.97,11,6.89,2.67,12919.5,19586539,43,18
Russia,0.029709,0.019309,0.000124,Asia,61.52,105.32,-2,8.05,3.98,11585.0,144495044,39,15
Rwanda,0.008321,0.0,3e-06,Africa,-1.94,29.87,20,1.6,0.06,820.0,12208407,20,3
Saudi Arabia,0.01247,0.019704,0.000128,Asia,23.89,45.08,27,2.7,2.57,23139.8,32938213,31,3
Senegal,0.077499,0.019608,1.9e-05,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3
Serbia,0.052111,0.012812,0.000104,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18
Slovakia,0.02439,0.0,7e-06,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16
Slovenia,0.033555,0.013123,6.5e-05,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20
South Africa,0.097609,0.028249,0.000272,Africa,-30.56,22.94,17,2.32,0.82,6001.4,56717156,27,5
South Korea,0.008684,0.015559,6e-06,Asia,35.91,127.77,13,12.27,2.33,31846.2,51466201,43,14
Sri Lanka,0.018164,0.0,1e-06,Asia,7.87,80.77,28,3.6,0.88,3853.1,21444000,34,10
Sweden,0.016887,0.020349,0.000579,Europe,60.13,18.64,4,2.22,4.19,51615.0,10067744,41,20
Switzerland,0.028542,0.016824,0.000238,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19
Thailand,0.001362,0.0,1e-06,Asia,15.87,100.99,27,2.1,0.47,7806.7,69037513,40,12
Togo,0.020979,0.0,5e-06,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3
Trinidad and Tobago,0.038911,0.0,3.7e-05,North America,10.69,-61.22,27,3.0,1.82,17398.0,1369125,36,11
Tunisia,0.058725,0.022223,8e-06,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8
Turkey,0.027982,0.020526,8.3e-05,Asia,38.96,35.24,14,2.81,1.75,9126.6,80745020,31,8
Uganda,0.015928,0.0,3e-06,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2
Ukraine,0.113841,0.019645,6.4e-05,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16
United Arab Emirates,0.009571,0.002563,4.2e-05,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1
United Kingdom,0.022733,0.022364,0.00063,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18
United States,0.06754,0.017502,0.000563,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16
Uruguay,0.012017,0.0,1.3e-05,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15
Vietnam,0.000664,0.0,0.0,Asia,14.06,108.28,25,2.6,0.82,2715.3,95540800,32,7
Zambia,0.026169,0.004274,1.9e-05,Africa,-13.13,27.85,21,2.0,0.09,1305.1,17094130,17,2
Zimbabwe,0.038936,0.010989,1.3e-05,Africa,-19.02,29.15,20,1.7,0.08,1464.0,16529904,19,3
